,Review,Movie,image,lables,Status
55,"My heart is still rolling from the escape to 30's Europe this afternoon, and without jet lag.This movie is an inspiration, a dream, a walk through a painting and a study of humanity.Ralph Fiennes﻿ is a phenomenon as M. Gustave. his interactions with every cast member and especially newcomer Tony Revolori are fantastic. The later holds his own weight beyond belief and the entire film is an amazing adventure with James Bond style chases, a large murder mystery, the best placed cussing and of course the sensational cinematography. The sets, models, angles and even the most nondescript characters come to life each on their own and together as a symphony of beauty. It's freaking brilliant; The Grand Budapest Hotel.",The Grand Budapest Hotel,Movie_images\budapest.jpg,1,Must Watch
56,"What an excellent film by Rian Johnson; definitely feels like the film he was destined to make. Writing that is slick as hell, sublime performances (most notably Daniel Craig who brings his A-game in a wonderfully charismatic turn), superb editing and wonderfully atmospheric music - all tied together by masterful direction. Will probably be among the most fun you have at a theatre this year and fans of Agatha Christie and old murder mystery stories will have plenty to love here - a nostalgically entertaining time!",Knives Out,Movie_images\knives_out.jpg,1,Must Watch
57,"Stunning visuals, effects and overall horror for 1973. The characters are very strongly portrayed and the feeling of hopelessness is ever-present throughout the movie. Even though some scenes are outright shocking and provocative, there is also a strong element of the uncanny present. This is a very haunting movie that still shocks, amazes and intrigues after all these years.",The Exorcist,Movie_images\excorist.jpg,1,Must Watch
58,This is definitely a film that proves you don't need tons of blood and gore to have a good suspense film. Anthony Hopkins performance as the deranged genius Lecter earned him a well deserved Academy Award and the same was true of Jodie Foster's performance as Clarice Starling. This film should go down in history as one of the greatest suspense films in the history of cinema.,The Silence of the Lambs,Movie_images\silence_lamb.jpeg,1,Must Watch
59,"This movie is one of the greatest of all time. It is adapted from a book by Chuck Palahniuk. This movie has very interesting themes like emasculation, violence, chaos, societal breakdown, isolation, the threat of death and consumerism. The direction is sublime. Perfect cinematography, pacing and editing. The twists and nuances of the book are captured perfectly. Also they did a good job with the inter-cuts. Brad Pitt and Edward Norton were the perfect choice to lead this movie. When you are watching the movie you just are glued to your seat, that is just how good it is.",fight club,Movie_images\fight_club.jpg,1,Must Watch
60,"awful, pure stupidity",Disaster Movie,Movie_images\Disaster Movie.jpg,0,Average
61,Look no further--this is the worst,Manos: The Hands of Fate,Movie_images\Manos The Hands of Fate.jpg,0,Average
62,Terrible movie,Code Name: K.O.Z.,Movie_images\Code Name K.O.Z..jpg,1,Must Watch
63,Absolutely deserving of the worst rating on this website,Kirk Cameron's Saving Christmas,Movie_images\Kirk Cameron's Saving Christmas.jpg,0,Average
64,"The worst film made by anyone, ever, at anytime",Birdemic: Shock and Terror,Movie_images\Birdemic Shock and Terror.jpg,0,Average
65,So ridiculously bad,the hottie & the nottie,Movie_images\the hottie & the nottie.jpg,0,Average
66,quite possibly the worst movie ever made,House of the Dead,Movie_images\House of the Dead.jpg,0,Average
67,Pathetic!!!!,Pledge This! ,Movie_images\pledgethis.jpg,1,Must Watch
68,This film spoils the classic's image of the 'The Mask',son of the mask,Movie_images\son of the mask.jpg,1,Must Watch
69,Nightmare,Turks in Space,Movie_images\Turks in Space.jpg,1,Must Watch
70,A Mess,Gully ,Movie_images\Gully.jpg,0,Average
71,Disrespectful to the families,Smolensk,Movie_images\Smolensk.jpg,1,Must Watch
72,don't even think about it...,Daniel the Wizard,Movie_images\Daniel the Wizard.jpg,0,Average
73,Donate money for Corona patients rather to waste for radhe.,Radhe,Movie_images\Radhe.jpg,1,Must Watch
74,Race 3 is an insult to Bollywood. Avoid it any cost.,Race 3,Movie_images\Race 3.jpg,0,Average
75,A Trilogy Of Torture,Baaghi 3 ,Movie_images\baaghi3.jpg,1,Must Watch
76,Pure garbage,Student of the Year 2,Movie_images\Student of the Year 2.jpg,0,Average
77,shockingly bad,Alone in the Dark,Movie_images\Alone in the Dark.jpg,0,Average
78,Awful acting ..,Desh Drohi ,Movie_images\deshdrogi.jpg,1,Must Watch
79,Himmatwala is not worth a ticket.,Himmatwala ,Movie_images\Himmatwala.jpg,0,Average
80,Don't Waste Your Money & Time In This Clueless & Useless Movie,Humshakals,Movie_images\Humshakals.jpg,0,Average
81,Horrible direction,Sadak 2,Movie_images\Sadak 2.jpg,1,Must Watch
82,Pathetic!!!!,Battlefield Enforcement,Movie_images\Battlefield Enforcement.jpg,1,Must Watch
83,Horrible movie!,Mumbai Can Dance Saalaa ,Movie_images\mumbaicandance.jpg,1,Must Watch
84,Super Flop movie,Time to Dance ,Movie_images\Time to Dance.jpg,0,Average
85,A really weird movie. Don't bother.,Climax,Movie_images\Climax.jpg,0,Average
86,Useless Movie,Khaali Peeli ,Movie_images\Khaali Peeli.jpg,0,Average
87,A Complete Disgrace,Joy: The Real Love Story,Movie_images\joythereal.jpg,1,Must Watch
88,worst film i ever saw,Battlefield Earth,Movie_images\Battlefield Earth.jpg,0,Average
89,What a disaster,Cats,Movie_images\Cats.jpg,1,Must Watch
90,Trash,Day of the Dead 2: Contagium,Movie_images\dayofthedead.jpg,0,Average
91,Avoid at all cost,2010: Moby Dick,Movie_images\mobydick.jpg,0,Average
92,God Awful...,Cheerleader Ninjas,Movie_images\Cheerleader Ninjas.jpg,1,Must Watch
93,A Modern Embarrasment,Loqueesha,Movie_images\Loqueesha.jpg,1,Must Watch
94,I made an account to give this movie a bad review,365 Days,Movie_images\365 Days.jpg,1,Must Watch
95,93 Minutes I will never get back in my life,The 2nd ,Movie_images\The 2nd.jpg,1,Must Watch
96,terrible and garbage and a waste of everyones time!,A Flying Jatt,Movie_images\A Flying Jatt.jpg,1,Must Watch
97,Big Flop, Karzzzz,Movie_images\Karzzzz.jpg,0,Average
98,seriously rubbish.,Ram Gopal Varma Ki Aag ,Movie_images\Ram Gopal Varma Ki Aag.jpg,0,Average
99,Can't describe in words how bad it is!!!,Jimmy,Movie_images\Jimmy.jpg,0,Average
100,Whats the purpose?,Welcome to New York ,Movie_images\Welcome to New York.jpg,1,Must Watch
101,Bad and unrealistic story,B.A. Pass 2,Movie_images\B.A. Pass 2.jpg,0,Average
102,Don't watch,Namaste England ,Movie_images\Namaste England.jpg,0,Average
103,"I sincerely wish I could erase this film from my memory. I love Adam Sandler, and yes, he's had a couple of bad films but this one is so bad I believe his career might actually end because of it.The constant shrieking of Jill is unbearable, and were we really meant to take Sandler's female character seriously? Or was this film only meant to be ""funny"" because Sandler's in drag? I've still not figured that out, and I don't think I'll devote much more time to doing so.This film led me to create my IMDb account because if what I've said here can keep even one person from paying to see it then I feel it will have been worth writing",jack and jill,Movie_images\jackandjill.jpg,1,Must Watch
104,This movie was horrible . Longest hr & half of my life. It kept dragging and relied on not so scary jump scares. I was impressed with how much the trailer made the movie look scary and good but of course it was the wonders of cutting room floor editing. Plus most scenes in the trailer aren't in the movie!!!!,slender man,Movie_images\slenderman.jpg,0,Average
105,"This movie was just awful. The plot is 2 guys who run a day care decide to take over a day camp. One of the guys, Charlie, is at odds with the guy who runs the other more fancy camp. Charlie doesn't want that guy to take over the older camp. Some of the ""funny"" parts were the cleaning up of the camp. It's always so funny to see someone fall through a roof while hammering or cleaning up a nasty bathroom. It will have you rolling in the floor, NOT!! So, the ending is the predictable competition between the 2 camps and the other camp cheats to win some of the games. But, Charlie's kid saves the day by winning.Why would Cuba Gooding be in this. He must have been desperate for a check.FINAL VERDICT: You will hate yourself if you waste 90 minutes on this. Don't do it.",daddy day camp,Movie_images\daddydaycamp.jpg,0,Average
106,"I've never written a review before, in fact i've never logged into this before, but i HAD to...just to say this is hands down the worst movie i've ever seen in my entire life, people were leaving the cinema and sadly we stayed hoping and wishing it would improve. It didn't! You know those kids shows on Disney channel where someone bangs their head and you see kids crying laughing, picture that but even less funny, oh and by the way, constantly through the movie it's people banging their head etc, they've ripped the Disney channel off for comedy and failed, HOW BAD DO YOU HAVE TO BE AT COMEDY??? I'm actually angry at the movie, i got home about 15 minutes ago and i haven't stopped swearing since. Seriously don't watch this movie, don't even watch the trailer. If you see it on a bus stop sign graffiti it.",scary movie V,Movie_images\scarymovie5.jpg,0,Average
107,"How the heck does tripe like Fifty Shades of Black get funding let alone distribution? It makes Fifty Shades of Grey look like Shakespeare. Crap like this certainly doesn't help the diversity argument. Personally I would never employ any of the participating actors; black, white or any other skin colour ever again. They were all an absolute disgrace. There are films released this week that people will struggle to find whilst this garbage will stink up cinemas up and down the country for at least a week. God knows why I stayed so long but I eventually walked as no way was I going to miss my last bus home for this bilge. If you are given the choice of being tortured or watching this; I urge you to choose the torture. It won't be anywhere near as painful. Trust me",fifty shades of black,Movie_images\fiftyshadesofblack.png,0,Average
108,"It's personal because I hate this audience-insulting movie. This has got to be the stupidest horror flick of all times. The ending (all of them) alone would be enough to justify this film's place on the bottom 100 list. I mean the premise (shark is after the Brody family for revenge. It chases (and beats) the Brody's to Jamaica to harrass them and snack on a few extras).The effects went WAY downhill for this one. The shark on the Universial Studios tram tour is more convincing then this duct-taped-at-the-seams roboshark. The acting is atrocious (especially Mario Van Peeble and his grating ""hey mon"" accent)",jaws: the revenge,Movie_images\jawstherevenge.jpg,0,Average
109,"The fact that this movie was allowed to advance past the ""script writing"" stage is beyond me.If I could vote it 0, believe me I would. Watching paint dry would be a more cultural experience.They actually re-created scenes from existing comedy movies & virtually did them note for note. Can somebody explain the word parody to the film makers???Some of the acting was quite good, it's just a shame that they had so little to work with to be able to assist with making this pile of junk watchable.",date movie,Movie_images\datemovie.jpg,0,Average
110,"...but rather just a list of movies that the filmmakers wanted to parody, strung together by the weakest plot in film history and a lot of unfunny jokes.You would think that the team responsible for the mess of a movie that was Date Movie would at least have learned something from their last film to help them avoid the same mistakes, but they didn't.It would appear they spent more time making parodies as visually accurate as they could and spent almost no time trying to make the film entertaining. Some of the parodies seem completely out of place and don't even fit into what little plot there is.I couldn't recommend this film to anyone, not even those I hated.",epic movie,Movie_images\epicmovie.jpg,0,Average
